estimated_net,team,efficiency,efficiency_rank,value,value_rank
138,UMass Lowell,2.230929459628336,147,0.9351503880034673,110
139,California,4.343123397213876,124,0.41959051049735263,204
140,Eastern Wash.,2.104590633444019,150,1.0037704675367203,103
141,Arizona St.,3.035444465742774,138,0.5981595228951418,152
142,Michigan,4.098720506829105,126,0.39262370084628884,209
143,Montana,2.1616469119325945,149,0.8386088302557793,119
144,Arkansas St.,2.2857946969914176,144,0.648854825172604,142
145,Tulane,3.6138424775357256,128,0.4060277901339987,207
146,Missouri St.,2.2764172212407923,145,0.654414896594053,141
147,Tarleton St.,1.150593428973612,157,1.079137371640875,94
148,Furman,2.3781457764285525,142,0.5772563871427495,156
149,Louisiana,2.268260809891972,146,0.6075553589907583,151
150,Towson,1.9546293059020705,153,0.7120290483477631,133
151,Weber St.,1.3276502877017673,156,0.8118503747416818,125
152,Sam Houston,1.080575791654305,159,0.8527622206831713,118
153,Quinnipiac,0.277713990992769,165,0.8545764324268577,117
154,Wyoming,1.1014821778378863,158,0.632320058370245,148
155,Wright St.,2.0716795571545523,151,0.4929842223593331,177
156,Fairfield,0.7342571363443312,161,0.6751359455670101,138
157,UNC Asheville,0.11527313886791367,167,0.825746033106412,120
158,Wichita St.,2.1767686095692413,148,0.42900571479777827,198
159,Purdue Fort Wayne,1.6396560975968202,155,0.5085297518676858,174
160,Longwood,1.0198779172057146,160,0.5627025432307831,161
161,St. Thomas (MN),1.9260127444057804,154,0.46222246548988344,186
162,Bryant,-0.23403673192977403,171,0.8200838510293492,122
163,Delaware,0.33448840837911265,163,0.5613260070605872,162
164,Missouri,2.729388526621819,140,0.28252170822039313,255
165,Lipscomb,0.036427917507030616,168,0.6348005431432366,145
166,Long Beach St.,-0.615041800212237,173,0.6649021089008422,140
167,UC Davis,-0.23022596039400658,170,0.5859453967568699,155
168,Utah Valley,-0.20905425940251293,169,0.5351875983675265,168
169,Kent St.,0.1284561395213482,166,0.4436587896723612,193
170,Hawaii,-0.25950381898724556,172,0.509906930810936,172
171,West Virginia,2.0605651284932405,152,0.29214843523280903,252
172,Oregon St.,0.3107740041485176,164,0.4069556030738413,206
173,Stony Brook,-1.6972716449886225,182,0.6488294720905635,143
174,Murray St.,0.657428952185122,162,0.33793916781935995,231
175,SFA,-1.3459530861425562,176,0.48834342521079194,179
176,Brown,-1.287094098622106,175,0.46432840067002334,185
177,ETSU,-2.4210333155013117,189,0.6326911707442272,147
178,A&M-Corpus Christi,-1.5692089299300458,180,0.4700558435061494,184
179,Northern Colo.,-2.43593260152191,190,0.6081887886098455,150
180,Saint Peter's,-2.4198770709132162,188,0.5461658990665478,167
181,Illinois St.,-1.6743417782249652,181,0.4367292761388735,195
182,Winthrop,-1.537370681235107,178,0.39363715394480003,208
183,Northern Ky.,-2.04299429461505,184,0.45925756072385077,188
184,Fordham,-0.9189420883081356,174,0.33121123527122337,235
185,Little Rock,-1.5538046747823668,179,0.37529059919159447,216
186,UTEP,-1.8337609439061795,183,0.42293359190043434,203
187,Wofford,-2.608699937080411,194,0.5491767749121885,166
188,Monmouth,-3.182072273862927,200,0.633688955155998,146
189,Gardner-Webb,-2.823991359898457,195,0.5143909830760105,170
190,Marist,-2.3974576761477637,187,0.40847503644026345,205
191,UIC,-1.37004862913876,177,0.294124635129794,251
192,Cleveland St.,-3.199412353742102,201,0.5676617015999318,157
193,East Carolina,-2.0776944572955625,185,0.33747449319270917,232
194,Temple,-2.44747752516862,191,0.3892290850501737,210
195,La Salle,-2.9354720352538726,197,0.423578004816736,202
196,George Washington,-2.5149752006873207,193,0.36155560185609925,223
197,Tulsa,-2.854123170091021,196,0.37103963717977795,218
198,Saint Louis,-3.3655638817066924,205,0.46177054430540165,187
199,LMU (CA),-2.2398660483605983,186,0.25899855232897695,267
200,Harvard,-4.092810159938105,214,0.5651362868525207,159
