Game
"NET +0 (Strength +0, Resume +0) Away loss: Ark.-Pine Bluff vs. South Fla. 69-85 (2024-11-12)"
"NET +0 (Strength +0, Resume +0) Away loss: Ark.-Pine Bluff vs. Pacific 71-83 (2024-11-27)"
"NET +0 (Strength +0, Resume +0) Away loss: Ark.-Pine Bluff vs. Florida A&M 76-86 (2025-01-18)"
"NET +0 (Strength +0, Resume +0) Away loss: Ark.-Pine Bluff vs. Missouri 63-112 (2024-11-24)"
"NET +0 (Strength +0, Resume +0) Away loss: Ark.-Pine Bluff vs. Tulsa 80-103 (2024-11-09)"
"NET +0 (Strength +0, Resume +0) Away loss: Ark.-Pine Bluff vs. Cincinnati 54-109 (2024-11-04)"
"NET +0 (Strength +0, Resume +0) Away loss: Ark.-Pine Bluff vs. Kansas St. 73-120 (2024-12-01)"
"NET +0 (Strength +0, Resume +0) Away loss: Ark.-Pine Bluff vs. UIW 64-92 (2024-11-16)"
"NET +0 (Strength +0, Resume +0) Away loss: Ark.-Pine Bluff vs. Texas 57-121 (2024-12-15)"
"NET +0 (Strength +0, Resume -1) Away loss: Ark.-Pine Bluff vs. Alabama A&M 79-89 (2025-01-04)"
"NET +0 (Strength +0, Resume -1) Home loss: Ark.-Pine Bluff vs. Prairie View 64-75 (2025-01-13)"
"NET +0 (Strength +0, Resume -2) Away loss: Ark.-Pine Bluff vs. ULM 73-89 (2024-12-11)"
"NET +15 (Strength +13, Resume +0) Home win: Arkansas vs. UMES 109-35 (2024-11-25)"
"NET +7 (Strength +2, Resume +24) Neutral win: Arkansas vs. Michigan 89-87 (2024-12-10)"
"NET +6 (Strength +5, Resume +10) Home win: Arkansas vs. Lipscomb 76-60 (2024-11-06)"
"NET +4 (Strength +5, Resume +3) Home win: Arkansas vs. Oakland 92-62 (2024-12-30)"
"NET +4 (Strength +1, Resume +6) Home win: Arkansas vs. Troy 65-49 (2024-11-13)"
